SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-5-2023,Condo/Co-op,1147 Chimney Hill Way,Ottawa,ON,K1J 8Z9,399900,3,2.0,Beacon Hill South,,,1983,,,590,Sold,,,https://www.redfin.com/on/ottawa/1147-Chimney-Hill-Way-K1J-8Z9/home/150593779,OREB,1344902,Y,Y,45.4448766,-75.6079177
PAST SALE,July-6-2023,Condo/Co-op,545 St Laurent Blvd #702,Ottawa,ON,K1K 4H9,511000,2,1.5,Viscount Alexander Park,,,1987,,,1148,Sold,,,https://www.redfin.com/on/ottawa/545-St-Laurent-Blvd-K1K-4N1/unit-702/home/149412932,OREB,1347757,Y,Y,45.4428022,-75.6471284
PAST SALE,July-6-2023,Single Family Residential,836 Claude St,Ottawa,ON,K1K 2S6,739000,3,3.0,Castle Heights,,6375,1961,,,,Sold,,,https://www.redfin.com/on/ottawa/836-Claude-St-K1K-2S6/home/149472725,OREB,1346789,Y,Y,45.4331283,-75.6391848
PAST SALE,July-6-2023,Single Family Residential,70 Crownhill St,Ottawa,ON,K1J 7K8,655000,3,1.5,Cardinal Heights,,11430,1955,,,,Sold,,,https://www.redfin.com/on/ottawa/70-Crownhill-St-K1J-7K8/home/150683526,OREB,1349155,Y,Y,45.4386293,-75.6062008
PAST SALE,July-9-2023,Single Family Residential,741 Claude St,Ottawa,ON,K1K 2S1,635000,3,2.0,Castle Heights / Rideau High,,6300,1961,,,,Sold,,,https://www.redfin.com/on/ottawa/741-Claude-St-K1K-2S1/home/149531442,OREB,1337699,Y,Y,45.4363034,-75.6403405
PAST SALE,July-9-2023,Single Family Residential,27 Farnham Cres,Ottawa,ON,K1K 0G1,1295000,4,3.5,Manor Park,,5187,2006,,,,Sold,,,https://www.redfin.com/on/ottawa/27-Farnham-Cres-K1K-0G1/home/149482089,OREB,1338023,Y,Y,45.4531633,-75.6588337
PAST SALE,July-9-2023,Single Family Residential,90 Meadowcroft Cres,Ottawa,ON,K1J 1H2,649000,3,1.5,Carson Grove,,3330,2000,,,,Sold,,,https://www.redfin.com/on/ottawa/90-Meadowcroft-Cres-K1J-1H2/home/150555276,OREB,1349009,Y,Y,45.4353498,-75.632648
PAST SALE,July-10-2023,Single Family Residential,501 Guy St,Ottawa,ON,K1K 1C1,501001,4,2.0,Castle Heights,,3138,1944,,,,Sold,,,https://www.redfin.com/on/ottawa/501-Guy-St-K1K-1C1/home/149487886,OREB,1348259,Y,Y,45.4340566,-75.6459101
PAST SALE,July-10-2023,Condo/Co-op,158B Mcarthur Ave #1804,Ottawa,ON,K1L 7E7,298500,2,1.0,Vanier,,,1973,,,571,Sold,,,https://www.redfin.com/on/ottawa/158-B-McArthur-Ave-K1L-8C9/unit-1804/home/149709210,OREB,1345165,Y,Y,45.4304349,-75.6631928
PAST SALE,July-10-2023,Condo/Co-op,70 Landry St #1205,Ottawa,ON,K1L 0A8,407000,1,1.0,Beechwood Village,,,2010,,,391,Sold,,,https://www.redfin.com/on/ottawa/70-Landry-St-K1L-0A8/unit-1205/home/149718915,OREB,1340305,Y,Y,45.4377222,-75.6723308
